Brand,Product_Name,Former_Price,Current_Price,Discount
Ray-Ban,RB7047,,176.0,
Ray-Ban,RB6335,,210.0,
,,,,
Oakley,Airdrop,,227.0,
Ray-Ban,RB3447V Round Metal,,210.0,
Oakley,Socket 5.5,,227.0,
Oakley,Gauge 3.1,318.0,222.6,30%
Ray-Ban,RB4340V Wayfarer Ease,,210.0,
Oakley,Fuller,,242.0,
Oakley,Holbrook RX,,187.0,
Oakley,Port Bow,,187.0,
Oakley,Pitchman R Carbon - Alternate Fit,,297.0,
Ray-Ban,RB5446,,186.0,
Ray-Ban,RB6543,,186.0,
Ray-Ban,RB5416D,247.0,123.5,50%
Versace,VE3186,,286.0,
Burberry,BE1282,,311.0,
Versace,VE3218,270.0,135.0,50%
Gucci,GG0278O,465.0,395.25,15%
Kate Spade,Hermione/G,230.0,161.0,30%
Versace,VE1274,,316.0,
Burberry,BE2357,,296.0,
Burberry,BE2390,,296.0,
Kate Spade,Lucyann,230.0,161.0,30%
Ray-Ban,RB7140,,237.0,
